,Fukuoka,Kumamoto,Kagoshima,Okinawa
201701,4238,2478,2238,3326
201702,3253,2785,2183,3637
201703,4976,3902,3519,3347
201704,4644,3391,2782,3395
201705,5121,3535,2994,3654
201706,4458,3673,3224,3089
201707,4928,3928,3393,3102
201708,4124,3481,2939,3494
201709,3609,3187,2563,3119
201710,3575,3239,2790,3665
201711,3642,2976,2576,3252
201712,4748,3578,2959,3194
201801,3724,2568,2271,3661
201802,3706,2771,2483,3584
201803,4726,3910,3594,3651
201804,4042,3188,3330,3483
201805,4486,3601,3475,3174
201806,4108,3748,3880,3659
201807,4359,3774,3884,3278
201808,4229,3485,3551,3465
201809,2943,3093,3195,3490
201810,3960,3215,3298,3297
201811,3677,3107,3065,3432
201812,4207,3626,3674,3486
