Y,X,T
2028,62,0
3034,136,1
2079,82,0
4231,114,1
1362,29,0
1692,39,0
1683,53,0
3894,113,1
3165,80,0
3476,108,1
4243,158,1
1967,76,0
2005,64,0
4065,107,1
3919,108,1
4247,103,1
1627,51,0
2479,99,0
2714,89,0
1258,29,0
4208,172,1
3545,130,1
4344,100,1
2844,104,1
3536,119,1
2052,51,0
4276,164,1
4208,164,1
3931,163,1
2323,45,0
2203,31,0
4480,147,1
1663,50,0
1322,52,0
4633,171,1
4033,131,1
1699,51,0
2868,65,0
4609,150,1
3484,151,1
1762,83,0
4219,152,1
1734,65,0
2159,40,0
2129,87,0
4337,144,1
4264,127,1
1965,61,0
1364,52,0
3845,143,1
1091,22,0
1800,75,0
2578,81,0
1920,55,0
3330,120,1
3812,148,1
1885,38,0
4693,102,1
3550,113,1
4734,147,1
4374,163,1
4183,119,1
2346,82,0
4214,159,1
4279,143,1
3742,101,1
2401,83,0
2171,29,0
1964,69,0
3391,145,1
4423,155,1
3680,125,1
2787,94,0
3932,161,1
4271,167,1
2129,52,0
4415,159,1
3075,139,1
3679,104,1
1900,69,0
2114,72,0
2359,86,0
3701,112,1
3855,110,1
1087,18,0
3207,133,1
2155,55,0
2544,68,0
3949,109,1
3615,153,1
3549,131,1
1655,64,0
3937,134,1
4220,175,1
3201,146,1
967,13,0
3886,158,1
3435,139,1
2169,63,0
4093,156,1
2494,43,0
4075,159,1
3058,140,1
3740,120,1
2602,83,0
3534,145,1
2674,95,0
3716,159,1
2828,67,0
3844,167,1
1425,41,0
2654,52,0
2063,83,0
2234,53,0
1224,22,0
3901,101,1
1927,55,0
3828,120,1
2253,32,0
1372,22,0
2440,71,0
2812,99,0
1569,55,0
3933,147,1
1405,62,0
1957,34,0
1758,61,0
3842,141,1
3516,100,1
1365,52,0
2067,41,0
3785,144,1
1337,24,0
960,16,0
3871,107,1
3797,112,1
1590,40,0
3701,119,1
1655,65,0
2693,92,0
2377,45,0
4137,114,1
2442,88,0
3890,174,1
1757,82,0
2597,84,0
1725,36,0
3507,120,1
1517,25,0
3900,157,1
2973,106,1
3396,142,1
4686,114,1
3043,91,0
1599,36,0
4527,177,1
4482,171,1
3719,168,1
3719,137,1
2351,45,0
3988,135,1
3407,138,1
3315,138,1
2457,99,0
4309,115,1
4241,143,1
2541,90,0
1952,50,0
1922,34,0
2539,86,0
3535,168,1
2961,87,0
2018,69,0
1993,41,0
1918,55,0
1430,28,0
4109,134,1
4108,113,1
4354,145,1
3603,138,1
2685,68,0
3255,146,1
2461,46,0
2647,87,0
1244,23,0
2659,58,0
1720,67,0
2162,56,0
890,28,0
4023,123,1
4240,148,1
3171,140,1
4100,182,1
3661,131,1
1705,31,0
2235,48,0
3736,167,1
2625,74,0
2107,71,0
4257,167,1
